2025-01-28 14:00:41,342: 'g'
2025-01-28 14:00:41,722: 'o'
2025-01-28 14:00:41,920: 'o'
2025-01-28 14:00:42,270: 'g'
2025-01-28 14:00:42,511: 'l'
2025-01-28 14:00:42,970: 'e'
2025-01-28 14:00:43,450: '.'
2025-01-28 14:00:43,786: 'c'
2025-01-28 14:00:43,974: 'o'
2025-01-28 14:00:44,211: 'm'
2025-01-28 14:00:44,979: Key.enter
2025-01-28 14:00:53,051: 'w'
2025-01-28 14:00:53,266: 'h'
2025-01-28 14:00:53,518: 'a'
2025-01-28 14:00:53,706: 't'
2025-01-28 14:00:54,083: Key.space
2025-01-28 14:00:54,539: 'i'
2025-01-28 14:00:54,791: 's'
2025-01-28 14:00:55,325: Key.space
2025-01-28 14:00:56,895: 'a'
2025-01-28 14:00:57,067: Key.space
2025-01-28 14:00:57,320: 'k'
2025-01-28 14:00:57,698: 'e'
2025-01-28 14:00:57,920: 'y'
2025-01-28 14:00:58,753: 'l'
2025-01-28 14:00:58,957: 'o'
2025-01-28 14:00:59,382: 'g'
2025-01-28 14:00:59,539: 'g'
2025-01-28 14:00:59,743: 'e'
2025-01-28 14:01:00,041: 'r'
2025-01-28 14:01:00,801: Key.enter
